3621,15.00,8.27,140.01
3641,15.00,8.41,143.15
3661,15.00,8.36,153.20
3681,15.00,8.20,160.89
3701,15.00,8.10,159.06
3721,15.00,8.05,158.04
3741,15.00,8.01,157.52
3761,15.00,7.99,157.29
3781,15.00,7.98,157.23
3801,15.00,7.97,157.29
3821,15.00,7.97,157.40
3841,15.00,7.96,157.56
3861,15.00,7.96,157.73
3881,15.00,7.96,157.92
3901,15.00,7.96,158.12
3921,15.00,7.45,190.30
3941,15.00,7.14,183.93
3961,15.00,6.95,180.21
3981,15.00,6.84,178.08
4001,15.00,6.77,176.90
4021,15.00,6.99,160.52
4041,15.00,7.25,155.40
4061,15.00,7.40,158.94
4081,15.00,7.62,153.06
4101,15.00,7.76,156.14
4121,15.00,7.98,149.55
4141,15.00,8.10,152.97
4161,15.00,8.18,154.76
4181,15.00,8.22,155.92
4201,15.00,8.25,156.27
4221,15.00,8.27,156.90
4241,15.00,8.29,157.36
4261,15.00,8.42,150.04
4281,15.00,8.50,151.91
4301,15.00,8.54,153.11
4321,15.00,8.57,153.91
4341,15.00,8.59,154.46
4361,15.00,8.34,170.65
4381,15.00,8.20,167.73
4401,15.00,8.10,166.48
4421,15.00,8.05,165.05
4441,15.00,8.02,164.62
4461,15.00,8.13,156.78
4481,15.00,8.19,158.33
4501,15.00,8.23,159.35
4521,15.00,8.25,160.04
4541,15.00,8.27,160.53
4561,15.00,8.27,160.91
4581,15.00,8.28,161.22
4601,15.00,8.28,161.48
4621,15.00,8.28,161.72
4641,15.00,8.29,161.94
4661,15.00,8.29,162.16
4681,15.00,8.29,162.37
4701,15.00,8.29,162.58
4721,15.00,8.16,170.45
4741,15.00,8.09,169.08
4761,15.00,8.04,168.77
4781,15.00,8.01,168.32
4801,15.00,7.99,168.13
4821,15.00,7.98,168.11
4841,15.00,7.97,168.18
4861,15.00,7.97,168.30
4881,15.00,7.96,168.46
4901,15.00,7.96,168.64
4921,15.00,7.96,168.84
4941,15.00,7.83,177.14
4961,15.00,7.75,175.68
4981,15.00,7.70,174.89
5001,15.00,7.81,166.40
5021,15.00,7.87,167.93
5041,15.00,8.04,160.40
5061,15.00,8.15,162.83
5081,15.00,8.46,148.60
5101,15.00,8.65,152.85
5121,15.00,8.77,155.47
5141,15.00,8.84,157.12
5161,15.00,8.88,158.18
5181,15.00,8.90,158.89
5201,15.00,8.92,159.38
5221,15.00,8.93,159.76
5241,15.00,8.93,160.05
5261,15.00,8.94,160.30
5281,15.00,8.94,160.52
5301,15.00,9.21,144.10
5321,15.00,9.37,147.72
5341,15.00,9.20,166.58
5361,15.00,9.09,164.57
5381,15.00,8.90,171.53
5401,15.00,8.53,185.46
5421,15.00,8.30,180.84
5441,15.00,8.16,178.15
5461,15.00,8.08,176.63
5481,15.00,8.03,175.79
5501,15.00,8.00,175.38
5521,15.00,7.99,175.21
5541,15.00,7.98,175.20
5561,15.00,7.97,175.28
5581,15.00,8.10,167.31
5601,15.00,8.17,169.13
5621,15.00,8.22,170.31
5641,15.00,8.25,171.10
5661,15.00,8.26,171.65
5681,15.00,8.40,163.96
5701,15.00,8.49,165.96
5721,15.00,8.67,159.13
5741,15.00,8.65,169.73
5761,15.00,9.02,145.34
5781,15.00,9.25,150.36
5801,15.00,9.39,153.44
5821,15.00,9.47,155.35
5841,15.00,9.52,156.56
5861,15.00,9.29,173.55
5881,15.00,9.02,178.86
5901,15.00,8.73,183.27
5921,15.00,8.43,187.91
5941,15.00,8.25,184.25
5961,15.00,8.14,182.13
5981,15.00,8.20,173.28
6001,15.00,8.23,174.23
6021,15.00,8.26,174.88
6041,15.00,8.27,175.35
6061,15.00,8.28,175.29
6081,15.00,8.55,159.90
6101,15.00,8.70,163.46
6121,15.00,8.54,181.86
6141,15.00,8.44,179.93
6161,15.00,8.38,178.85
6181,15.00,8.21,186.38
6201,15.00,8.24,176.36
6221,15.00,8.26,176.95
6241,15.00,8.40,169.29
6261,15.00,8.62,163.20
6281,15.00,8.75,166.14
6301,15.00,9.08,151.78
6321,15.00,9.29,156.29
6341,15.00,9.41,159.06
6361,15.00,9.48,160.79
6381,15.00,9.40,169.56
6401,15.00,9.35,169.14
6421,15.00,9.32,168.60
6441,15.00,9.30,167.93
6461,15.00,9.42,160.26
6481,15.00,9.49,161.91
6501,15.00,9.66,154.87
6521,15.00,9.76,157.23
6541,15.00,9.83,158.71
6561,15.00,9.87,159.23
6581,15.00,9.89,160.38
6601,15.00,9.77,168.88
6621,15.00,9.70,167.52
6641,15.00,9.53,174.86
6661,15.00,9.17,188.59
6681,15.00,8.95,184.18
6701,15.00,8.82,181.62
6721,15.00,8.87,172.48
6741,15.00,8.90,173.25
6761,15.00,8.91,173.79
6781,15.00,8.92,174.19
6801,15.00,8.94,174.07
6821,15.00,9.07,166.74
6841,15.00,9.15,168.60
6861,15.00,9.20,169.79
6881,15.00,9.10,178.24
6901,15.00,9.04,177.62
6921,15.00,8.87,185.08
6941,15.00,8.77,183.11
6961,15.00,8.70,182.00
6981,15.00,8.93,165.21
7001,15.00,9.06,168.26
7021,15.00,9.15,170.16
7041,15.00,9.19,171.37
7061,15.00,9.22,172.17
7081,15.00,9.25,172.29
7101,15.00,9.26,172.77
7121,15.00,9.27,173.13
7141,15.00,9.40,165.74
7161,15.00,9.48,167.56
7181,15.00,9.52,168.71
7201,15.00,9.55,169.47
7221,15.00,9.57,169.99
7241,15.00,9.58,170.36
7261,15.00,9.58,170.66
7281,15.00,9.59,170.89
7301,15.00,9.60,170.68
7321,15.00,9.60,170.95
7341,15.00,9.60,171.61
7361,15.00,9.60,171.73
7381,15.00,9.59,171.86
7401,15.00,9.59,172.01
7421,15.00,9.59,172.16
7441,15.00,9.59,172.32
7461,15.00,9.59,172.47
7481,15.00,9.59,172.63
7501,15.00,9.59,172.80
7521,15.00,9.59,172.96
7541,15.00,9.59,173.12
7561,15.00,9.59,173.28
7581,15.00,9.59,173.44
7601,15.00,9.59,173.61
7621,15.00,9.59,173.77
7641,15.00,9.59,173.93
7661,15.00,9.59,174.09
7681,15.00,9.59,174.25
7701,15.00,9.59,174.42
7721,15.00,9.59,174.58
7741,15.00,9.59,174.74
7761,15.00,9.59,174.90
7781,15.00,9.59,175.06
7801,15.00,9.47,182.90
7821,15.00,9.39,181.49
