3621,15.00,7.57,110.00
3641,15.00,7.50,110.00
3661,15.00,7.44,110.00
3681,15.00,7.40,110.00
3701,15.00,7.38,110.00
3721,15.00,7.36,110.00
3741,15.00,7.35,110.00
3761,15.00,7.73,110.00
3781,15.00,7.99,110.00
3801,15.00,8.18,110.00
3821,15.00,8.31,110.00
3841,15.00,8.01,110.00
3861,15.00,7.81,110.00
3881,15.00,7.66,110.00
3901,15.00,7.56,110.00
3921,15.00,7.49,110.00
3941,15.00,7.44,110.00
3961,15.00,7.50,110.00
3981,15.00,7.45,110.00
4001,15.00,7.50,110.00
4021,15.00,7.54,110.00
4041,15.00,7.47,110.00
4061,15.00,7.42,110.00
4081,15.00,7.39,110.00
4101,15.00,7.37,110.00
4121,15.00,7.36,110.00
4141,15.00,7.35,110.00
4161,15.00,7.43,110.00
4181,15.00,7.49,110.00
4201,15.00,7.44,110.00
4221,15.00,7.40,110.00
4241,15.00,7.47,110.00
4261,15.00,7.43,110.00
4281,15.00,7.40,110.00
4301,15.00,7.38,110.00
4321,15.00,7.07,110.00
4341,15.00,6.85,110.00
4361,15.00,6.70,110.00
4381,15.00,6.59,110.00
4401,15.00,6.52,110.00
4421,15.00,6.47,110.00
4441,15.00,6.14,110.00
4461,15.00,5.91,110.00
4481,15.00,5.74,110.00
4501,15.00,5.63,110.00
4521,15.00,5.55,110.00
4541,15.00,5.88,110.00
4561,15.00,6.11,110.00
4581,15.00,6.18,110.00
4601,15.00,6.23,110.00
4621,15.00,6.27,110.00
4641,15.00,6.29,110.00
4661,15.00,6.31,110.00
4681,15.00,6.31,110.00
4701,15.00,6.32,110.00
4721,15.00,6.32,110.00
4741,15.00,6.32,110.00
4761,15.00,6.32,110.00
4781,15.00,6.33,110.00
4801,15.00,6.33,110.00
4821,15.00,6.33,110.00
4841,15.00,6.33,110.00
4861,15.00,6.33,110.00
4881,15.00,6.33,110.00
4901,15.00,6.33,110.00
4921,15.00,6.33,110.00
4941,15.00,6.33,110.00
4961,15.00,6.33,110.00
4981,15.00,6.34,110.00
5001,15.00,6.34,110.00
5021,15.00,6.34,110.00
5041,15.00,6.34,110.00
5061,15.00,6.34,110.00
5081,15.00,6.34,110.00
5101,15.00,6.34,110.00
5121,15.00,6.33,110.00
5141,15.00,6.33,110.00
5161,15.00,6.33,110.00
5181,15.00,6.33,110.00
5201,15.00,6.33,110.00
5221,15.00,6.34,110.00
5241,15.00,6.34,110.00
5261,15.00,6.43,110.00
5281,15.00,6.41,110.00
5301,15.00,6.39,110.00
5321,15.00,6.38,110.00
5341,15.00,6.46,110.00
5361,15.00,6.52,110.00
5381,15.00,6.56,110.00
5401,15.00,6.59,110.00
5421,15.00,6.61,110.00
5441,15.00,6.62,110.00
5461,15.00,6.25,110.00
5481,15.00,5.98,110.00
5501,15.00,6.18,110.00
5521,15.00,5.94,110.00
5541,15.00,5.77,110.00
5561,15.00,6.03,110.00
5581,15.00,6.22,110.00
5601,15.00,6.26,110.00
5621,15.00,6.28,110.00
5641,15.00,6.30,110.00
5661,15.00,6.32,110.00
5681,15.00,6.32,110.00
5701,15.00,6.32,110.00
5721,15.00,6.32,110.00
5741,15.00,6.33,110.00
5761,15.00,6.33,110.00
5781,15.00,6.33,110.00
5801,15.00,6.33,110.00
5821,15.00,6.34,110.00
5841,15.00,6.44,110.00
5861,15.00,6.51,110.00
5881,15.00,6.55,110.00
5901,15.00,6.49,110.00
5921,15.00,6.44,110.00
5941,15.00,6.41,110.00
5961,15.00,6.38,110.00
5981,15.00,6.37,110.00
6001,15.00,6.36,110.00
6021,15.00,6.35,110.00
6041,15.00,6.34,110.00
6061,15.00,6.34,110.00
6081,15.00,6.33,110.00
6101,15.00,6.33,110.00
6121,15.00,6.33,110.00
6141,15.00,6.33,110.00
6161,15.00,6.33,110.00
6181,15.00,6.33,110.00
6201,15.00,6.33,110.00
6221,15.00,6.33,110.00
6241,15.00,6.33,110.00
6261,15.00,6.04,110.00
6281,15.00,6.22,110.00
6301,15.00,6.35,110.00
6321,15.00,6.05,110.00
6341,15.00,5.84,110.00
6361,15.00,5.69,110.00
6381,15.00,5.59,110.00
6401,15.00,5.52,110.00
6421,15.00,5.47,110.00
6441,15.00,5.44,110.00
6461,15.00,5.42,110.00
6481,15.00,5.40,110.00
6501,15.00,5.38,110.00
6521,15.00,5.37,110.00
6541,15.00,5.37,110.00
6561,15.00,5.37,110.00
6581,15.00,5.75,110.00
6601,15.00,5.64,110.00
6621,15.00,5.56,110.00
6641,15.00,5.50,110.00
6661,15.00,5.85,110.00
6681,15.00,6.09,110.00
6701,15.00,6.26,110.00
6721,15.00,6.38,110.00
6741,15.00,6.46,110.00
6761,15.00,6.13,110.00
6781,15.00,5.90,110.00
6801,15.00,5.74,110.00
6821,15.00,6.02,110.00
6841,15.00,5.82,110.00
6861,15.00,5.68,110.00
6881,15.00,5.98,110.00
6901,15.00,6.08,110.00
6921,15.00,6.16,110.00
6941,15.00,6.21,110.00
6961,15.00,6.25,110.00
6981,15.00,6.28,110.00
7001,15.00,6.30,110.00
7021,15.00,6.31,110.00
7041,15.00,6.32,110.00
7061,15.00,6.33,110.00
7081,15.00,6.33,110.00
7101,15.00,6.33,110.00
7121,15.00,6.03,110.00
7141,15.00,5.83,110.00
7161,15.00,5.68,110.00
7181,15.00,5.88,110.00
7201,15.00,6.11,110.00
7221,15.00,6.27,110.00
7241,15.00,6.39,110.00
7261,15.00,6.47,110.00
7281,15.00,6.14,110.00
7301,15.00,5.91,110.00
7321,15.00,5.74,110.00
7341,15.00,5.63,110.00
7361,15.00,5.84,110.00
7381,15.00,5.99,110.00
7401,15.00,6.09,110.00
7421,15.00,6.16,110.00
7441,15.00,6.21,110.00
7461,15.00,6.25,110.00
7481,15.00,6.27,110.00
7501,15.00,6.29,110.00
7521,15.00,6.30,110.00
7541,15.00,6.31,110.00
7561,15.00,6.32,110.00
7581,15.00,6.32,110.00
7601,15.00,6.71,110.00
7621,15.00,6.70,110.00
7641,15.00,6.69,110.00
7661,15.00,6.68,110.00
7681,15.00,6.67,110.00
7701,15.00,6.67,110.00
7721,15.00,6.66,110.00
7741,15.00,6.56,110.00
7761,15.00,6.49,110.00
7781,15.00,6.15,110.00
7801,15.00,5.91,110.00
7821,15.00,5.74,110.00
7841,15.00,5.63,110.00
7861,15.00,5.55,110.00
7881,15.00,5.49,110.00
7901,15.00,5.84,110.00
7921,15.00,6.08,110.00
