Tiempo(ms),Setpoint(cm),Altura(cm),PWM
0,20.00,3.39,186.50
20,20.00,3.39,176.96
40,20.00,3.39,177.39
60,20.00,3.40,177.50
80,20.00,3.40,178.01
100,20.00,3.79,154.33
120,20.00,4.06,161.07
140,20.00,4.25,165.90
160,20.00,4.68,151.04
180,20.00,4.98,158.37
200,20.00,4.89,181.99
220,20.00,4.74,186.81
240,20.00,4.63,184.74
260,20.00,4.56,183.74
280,20.00,4.50,182.53
300,20.00,4.56,176.31
320,20.00,4.60,177.64
340,20.00,5.12,148.07
360,20.00,5.97,126.25
380,20.00,6.67,134.32
400,20.00,7.35,133.69
420,20.00,8.02,132.84
440,20.00,8.69,131.84
460,20.00,9.80,103.00
480,20.00,10.78,108.32
500,20.00,12.07,86.45
520,20.00,13.08,101.22
540,20.00,13.79,117.79
561,20.00,14.18,136.99
581,20.00,14.87,115.95
601,20.00,15.57,114.50
621,20.00,16.73,83.33
641,20.00,17.55,102.34
661,20.00,18.31,103.73
681,20.00,18.85,116.15
701,20.00,19.22,124.84
721,20.00,19.39,136.72
741,20.00,19.51,139.47
761,20.00,19.49,147.53
781,20.00,19.19,165.34
801,20.00,18.98,160.50
821,20.00,18.64,169.37
841,20.00,18.30,169.97
861,20.00,18.07,164.53
881,20.00,17.59,180.08
901,20.00,17.16,178.89
921,20.00,16.64,185.11
941,20.00,16.07,190.03
961,20.00,15.67,180.84
981,20.00,15.38,174.44
1001,20.00,15.19,169.69
1021,20.00,15.16,160.58
1041,20.00,15.35,146.59
1061,20.00,15.59,143.37
1081,20.00,15.75,147.33
1101,20.00,16.08,136.60
1121,20.00,16.42,135.98
1141,20.00,16.94,123.07
1161,20.00,17.98,89.45
1181,20.00,18.71,106.44
1201,20.00,19.03,130.57
1221,20.00,19.25,135.71
1241,20.00,19.69,121.26
1261,20.00,19.71,146.51
1281,20.00,19.73,146.87
1301,20.00,19.74,147.12
1321,20.00,19.75,147.30
1341,20.00,19.66,153.23
1361,20.00,19.60,151.81
1381,20.00,19.46,156.95
1401,20.00,19.17,166.60
1421,20.00,18.96,162.25
1441,20.00,18.72,164.71
1461,20.00,18.65,155.07
1481,20.00,18.60,153.91
1501,20.00,18.18,176.96
1521,20.00,17.89,170.22
1541,20.00,17.97,147.81
1561,20.00,17.93,154.94
1581,20.00,17.99,148.58
1601,20.00,18.04,149.71
1621,20.00,18.17,144.40
1641,20.00,18.26,146.56
1661,20.00,18.33,148.09
1681,20.00,18.27,155.30
1701,20.00,18.14,160.28
1721,20.00,17.95,164.34
1741,20.00,17.82,161.33
1761,20.00,17.73,159.24
1781,20.00,17.95,139.74
1801,20.00,18.11,143.43
1821,20.00,18.22,146.02
1841,20.00,18.20,153.97
1861,20.00,18.18,153.68
1881,20.00,18.17,153.48
1901,20.00,18.17,153.36
1921,20.00,18.07,159.09
1941,20.00,18.00,157.56
1961,20.00,17.95,156.50
1981,20.00,17.92,155.77
2001,20.00,17.90,155.28
2021,20.00,18.07,143.03
2041,20.00,18.19,145.91
2061,20.00,18.28,147.93
2081,20.00,18.34,149.37
2101,20.00,18.29,156.18
2121,20.00,18.25,155.40
2141,20.00,18.22,154.86
2161,20.00,18.21,154.51
2181,20.00,18.10,160.39
2201,20.00,18.02,158.65
2221,20.00,17.97,157.45
2241,20.00,18.22,138.58
2261,20.00,18.39,142.70
2281,20.00,18.52,145.59
2301,20.00,18.60,147.63
2321,20.00,18.95,131.01
2341,20.00,19.20,136.38
2361,20.00,19.37,140.45
2381,20.00,19.50,143.30
2401,20.00,19.58,145.29
2421,20.00,19.64,146.69
2441,20.00,19.78,141.87
2461,20.00,19.87,144.06
2481,20.00,19.94,145.60
2501,20.00,19.98,146.67
2521,20.00,20.02,147.10
2541,20.00,20.05,147.71
2561,20.00,20.07,148.13
2581,20.00,19.78,166.80
2601,20.00,19.58,162.57
2621,20.00,19.44,159.30
2641,20.00,19.35,156.70
2661,20.00,19.28,155.20
2681,20.00,19.24,154.15
2701,20.00,19.20,153.42
2721,20.00,19.18,152.92
2741,20.00,19.07,158.70
2761,20.00,18.99,156.88
2781,20.00,18.93,155.62
2801,20.00,18.89,154.74
2821,20.00,19.06,142.21
2841,20.00,19.17,144.89
2861,20.00,19.25,146.77
2881,20.00,19.31,148.09
2901,20.00,19.25,154.81
2921,20.00,19.22,153.97
2941,20.00,19.19,153.38
2961,20.00,19.46,134.92
2981,20.00,19.65,139.33
3001,20.00,19.78,142.41
3021,20.00,20.26,120.39
3041,20.00,20.21,152.33
3061,20.00,20.17,151.50
3081,20.00,19.77,174.76
3101,20.00,19.48,168.50
3121,20.00,19.28,163.81
3141,20.00,19.13,160.53
3161,20.00,19.03,158.25
3181,20.00,18.96,156.66
3201,20.00,18.92,155.56
3221,20.00,19.17,136.75
3241,20.00,19.35,140.58
3261,20.00,19.48,143.58
3281,20.00,19.57,146.00
3301,20.00,19.53,153.18
3321,20.00,19.51,152.65
3341,20.00,19.49,152.28
3361,20.00,19.48,152.35
3381,20.00,19.37,157.90
3401,20.00,19.30,156.22
3421,20.00,19.25,155.05
3441,20.00,19.21,154.24
3461,20.00,19.19,153.68
3481,20.00,19.17,153.29
3501,20.00,19.16,153.03
3521,20.00,19.44,134.80
3541,20.00,19.63,139.36
3561,20.00,19.77,142.55
3581,20.00,19.87,144.79
3601,20.00,19.93,146.35
3621,20.00,19.98,147.44
3641,20.00,20.01,148.21
3661,20.00,20.04,148.74
3681,20.00,19.96,155.24
3701,20.00,19.61,171.64
3721,20.00,19.37,166.44
3741,20.00,19.20,162.50
3761,20.00,19.08,159.75
3781,20.00,19.19,145.91
3801,20.00,19.27,147.35
3821,20.00,19.42,142.87
3841,20.00,19.52,145.30
3861,20.00,19.50,152.81
3881,20.00,19.77,134.77
3901,20.00,19.96,139.16
3921,20.00,20.09,142.22
3941,20.00,20.18,144.36
3961,20.00,20.35,139.73
3981,20.00,20.46,142.37
4001,20.00,20.54,144.20
4021,20.00,20.60,145.16
4041,20.00,20.64,146.13
4061,20.00,20.67,147.13
4081,20.00,20.69,147.52
4101,20.00,20.51,159.70
4121,20.00,20.38,156.79
4141,20.00,20.30,154.75
4161,20.00,20.23,153.32
4181,20.00,20.19,152.32
4201,20.00,20.16,151.62
4221,20.00,20.24,145.01
4241,20.00,20.29,146.25
4261,20.00,20.33,147.12
4281,20.00,20.36,147.72
4301,20.00,20.37,148.14
4321,20.00,20.39,148.43
4341,20.00,20.40,148.63
4361,20.00,20.40,148.76
4381,20.00,20.41,148.86
4401,20.00,20.02,173.09
4421,20.00,19.76,166.87
4441,20.00,19.57,162.51
4461,20.00,19.44,159.48
4481,20.00,19.73,133.18
4501,20.00,19.94,137.97
4521,20.00,20.08,141.32
4541,20.00,20.18,143.66
4561,20.00,20.25,145.29
4581,20.00,20.20,152.56
4601,20.00,20.17,151.77
4621,20.00,20.15,151.21
4641,20.00,20.23,144.70
4661,20.00,20.19,152.14
4681,20.00,19.87,169.52
4701,20.00,19.65,164.37
4721,20.00,19.49,160.77
4741,20.00,19.38,158.26
4761,20.00,19.31,156.51
4781,20.00,19.25,155.29
4801,20.00,19.22,154.44
4821,20.00,19.19,153.86
4841,20.00,19.18,153.13
4861,20.00,19.35,141.34
4881,20.00,19.48,144.22
4901,20.00,19.47,152.36
4921,20.00,19.46,151.86
4941,20.00,19.46,151.83
4961,20.00,19.45,152.13
4981,20.00,19.45,151.72
5001,20.00,19.45,151.74
5021,20.00,19.45,151.76
5041,20.00,19.45,152.10
5061,20.00,19.35,157.84
5081,20.00,19.29,156.29
5101,20.00,19.24,155.22
5121,20.00,19.49,136.74
5141,20.00,19.67,140.50
5161,20.00,19.80,143.12
5181,20.00,19.89,145.26
5201,20.00,20.25,128.71
5221,20.00,20.49,134.43
5241,20.00,20.67,138.43
5261,20.00,20.79,141.22
5281,20.00,20.58,161.21
5301,20.00,20.44,158.21
5321,20.00,20.33,155.80
5341,20.00,20.26,154.11
5361,20.00,20.21,152.93
5381,20.00,20.27,145.98
5401,20.00,20.32,146.98
5421,20.00,20.35,147.68
5441,20.00,20.37,148.17
5461,20.00,20.38,148.51
5481,20.00,20.39,148.74
5501,20.00,20.40,148.90
5521,20.00,20.41,149.01
5541,20.00,20.41,149.09
5561,20.00,20.41,149.13
5581,20.00,20.41,149.16
5601,20.00,20.41,149.18
5621,20.00,20.42,149.19
5641,20.00,20.42,149.19
5661,20.00,20.32,155.32
5681,20.00,20.25,153.73
5701,20.00,20.20,152.61
5721,20.00,20.17,151.83
5741,20.00,20.15,151.28
5761,20.00,20.13,150.90
5781,20.00,20.12,150.63
5801,20.00,20.11,150.44
5821,20.00,20.10,150.31
5841,20.00,20.10,150.21
5861,20.00,20.10,150.15
5881,20.00,20.10,149.78
5901,20.00,20.10,150.15
5921,20.00,20.10,150.10
5941,20.00,20.29,137.82
5961,20.00,20.43,140.97
5981,20.00,20.52,143.49
6001,20.00,20.58,144.94
6021,20.00,20.62,145.94
6041,20.00,20.27,170.50
6061,20.00,20.03,164.80
6081,20.00,19.86,160.81
6101,20.00,19.74,158.03
6121,20.00,19.65,156.09
6141,20.00,19.59,155.05
6161,20.00,19.65,147.58
6181,20.00,19.69,148.53
6201,20.00,19.81,143.40
6221,20.00,19.89,145.37
6241,20.00,19.95,146.75
6261,20.00,19.99,147.72
6281,20.00,20.02,148.40
6301,20.00,20.04,148.87
6321,20.00,20.06,149.20
6341,20.00,20.07,149.43
6361,20.00,20.07,149.59
6381,20.00,20.08,149.70
6401,20.00,20.08,149.78
6421,20.00,20.09,149.83
6441,20.00,20.09,149.87
6461,20.00,20.47,125.72
