Tiempo(ms),Setpoint(cm),Altura(cm),PWM
0,10.00,4.71,151.39
20,10.00,4.71,148.35
40,10.00,4.71,148.49
60,10.00,4.71,148.63
80,10.00,4.63,153.92
100,10.00,5.04,123.40
120,10.00,5.33,130.20
140,10.00,5.43,141.12
160,10.00,5.60,136.80
180,10.00,5.92,127.43
200,10.00,6.14,132.65
220,10.00,6.20,142.46
240,10.00,6.24,143.48
260,10.00,6.07,156.14
280,10.00,5.66,171.97
300,10.00,5.18,177.71
320,10.00,4.84,170.34
340,10.00,4.60,164.92
360,10.00,4.43,161.17
380,10.00,4.61,140.22
400,10.00,5.03,124.86
420,10.00,6.01,88.89
440,10.00,6.79,98.74
460,10.00,7.63,93.16
480,10.00,8.22,106.88
500,10.00,8.63,116.48
520,10.00,9.02,117.09
540,10.00,9.39,116.94
561,10.00,9.97,105.01
581,10.00,10.69,92.73
601,10.00,11.69,73.50
621,10.00,12.39,89.70
641,10.00,12.88,101.01
661,10.00,13.23,108.58
681,10.00,13.58,107.38
701,10.00,13.72,120.09
721,10.00,13.81,122.16
741,10.00,13.87,123.57
761,10.00,13.92,124.53
781,10.00,13.85,131.61
801,10.00,13.73,134.87
821,10.00,13.64,133.12
841,10.00,12.94,170.87
861,10.00,12.46,159.56
881,10.00,11.91,164.85
901,10.00,11.52,155.86
921,10.00,11.25,149.89
941,10.00,11.06,145.07
961,10.00,10.93,142.00
981,10.00,10.94,133.40
1001,10.00,10.95,133.56
1021,10.00,10.95,133.67
1041,10.00,10.96,133.73
1061,10.00,10.96,133.77
1081,10.00,10.96,133.79
1101,10.00,11.07,127.35
1121,10.00,11.14,129.02
1141,10.00,11.30,123.41
1161,10.00,11.62,112.75
1181,10.00,11.95,111.50
1201,10.00,12.29,110.02
1221,10.00,12.53,115.46
1241,10.00,12.69,119.24
1261,10.00,12.81,121.87
1281,10.00,12.89,123.68
1301,10.00,12.95,124.92
1321,10.00,13.10,119.00
1341,10.00,13.20,121.32
1361,10.00,12.95,142.91
1381,10.00,12.78,138.82
1401,10.00,12.87,122.73
1421,10.00,12.93,124.12
1441,10.00,13.09,118.30
1461,10.00,13.19,120.69
1481,10.00,13.27,122.34
1501,10.00,13.32,123.47
1521,10.00,13.04,144.22
1541,10.00,12.84,139.55
1561,10.00,12.70,136.26
1581,10.00,12.60,133.94
1601,10.00,12.53,132.29
1621,10.00,12.59,124.68
1641,10.00,12.63,125.51
1661,10.00,12.66,126.07
1681,10.00,12.68,126.45
1701,10.00,12.69,126.69
1721,10.00,12.70,126.83
1741,10.00,12.60,133.36
1761,10.00,12.53,131.73
1781,10.00,12.38,137.01
1801,10.00,12.28,134.51
1821,10.00,12.20,132.74
1841,10.00,12.15,131.48
1861,10.00,12.12,130.59
1881,10.00,12.51,103.84
1901,10.00,12.79,109.82
1921,10.00,12.98,114.29
1941,10.00,13.12,117.39
1961,10.00,12.90,139.52
1981,10.00,12.74,135.81
2001,10.00,12.63,133.20
2021,10.00,12.66,124.91
2041,10.00,12.68,124.94
2061,10.00,12.70,125.26
2081,10.00,12.71,125.45
2101,10.00,12.72,125.57
2121,10.00,12.72,125.63
2141,10.00,12.73,125.65
2161,10.00,12.62,132.42
2181,10.00,12.55,130.64
2201,10.00,12.50,129.37
2221,10.00,12.46,128.47
2241,10.00,12.44,127.82
2261,10.00,12.42,127.34
2281,10.00,12.41,126.99
2301,10.00,12.40,126.73
2321,10.00,12.39,126.52
2341,10.00,12.39,126.36
2361,10.00,12.38,126.23
2381,10.00,12.38,126.12
2401,10.00,12.38,126.03
2421,10.00,12.38,125.94
2441,10.00,12.38,125.86
2461,10.00,12.38,125.79
2481,10.00,12.38,125.72
2501,10.00,12.38,125.65
2521,10.00,12.38,125.59
2541,10.00,12.38,125.52
2561,10.00,12.38,125.46
2581,10.00,12.38,125.39
2601,10.00,12.38,125.33
2621,10.00,12.38,125.27
2641,10.00,12.38,125.21
2661,10.00,12.38,125.14
2681,10.00,12.38,125.08
2701,10.00,12.38,125.02
2721,10.00,12.38,124.96
2741,10.00,12.38,124.90
2761,10.00,12.38,124.83
2781,10.00,12.38,124.77
2801,10.00,12.38,124.71
2821,10.00,12.38,124.65
2841,10.00,12.38,124.59
2861,10.00,12.38,124.53
2881,10.00,12.38,124.46
2901,10.00,12.38,124.40
2921,10.00,12.38,124.34
2941,10.00,12.38,124.28
2961,10.00,12.38,124.22
2981,10.00,12.38,124.16
3001,10.00,12.38,124.09
3021,10.00,12.38,124.03
3041,10.00,12.38,123.97
3061,10.00,12.38,123.91
3081,10.00,12.38,123.85
3101,10.00,12.38,123.78
3121,10.00,12.38,123.72
3141,10.00,12.38,123.66
3161,10.00,12.38,123.28
3181,10.00,12.39,123.30
3201,10.00,12.38,123.62
3221,10.00,12.38,123.51
3241,10.00,12.38,123.42
3261,10.00,12.38,123.34
3281,10.00,12.38,123.26
3301,10.00,12.38,123.19
3321,10.00,12.38,123.12
3341,10.00,12.38,123.05
3361,10.00,12.38,122.99
3381,10.00,12.38,122.92
3401,10.00,12.38,122.86
3421,10.00,12.38,122.80
3441,10.00,12.38,122.74
3461,10.00,12.48,116.23
3481,10.00,12.55,117.84
3501,10.00,12.60,118.94
3521,10.00,12.64,119.69
3541,10.00,12.66,120.20
3561,10.00,12.58,126.98
3581,10.00,12.52,125.52
3601,10.00,12.47,124.48
3621,10.00,12.44,123.73
3641,10.00,12.42,123.19
3661,10.00,12.41,122.79
3681,10.00,12.40,122.50
3701,10.00,12.39,122.27
3721,10.00,12.39,122.09
3741,10.00,12.38,121.95
3761,10.00,12.38,121.83
3781,10.00,12.38,121.73
3801,10.00,12.38,121.64
3821,10.00,12.38,121.56
3841,10.00,12.38,121.48
3861,10.00,12.48,114.97
3881,10.00,12.55,116.57
3901,10.00,12.61,117.35
3921,10.00,12.65,118.18
3941,10.00,12.67,118.74
3961,10.00,12.69,119.11
3981,10.00,12.81,112.91
4001,10.00,12.89,114.72
4021,10.00,12.95,115.97
4041,10.00,12.99,116.82
4061,10.00,13.02,117.39
4081,10.00,12.61,144.19
4101,10.00,12.33,137.58
4121,10.00,12.13,132.94
4141,10.00,12.10,123.23
4161,10.00,12.07,122.61
4181,10.00,12.06,122.15
4201,10.00,12.04,121.82
4221,10.00,11.93,128.02
4241,10.00,11.85,126.16
4261,10.00,11.80,124.84
4281,10.00,12.18,97.48
4301,10.00,12.45,103.66
4321,10.00,12.64,107.97
4341,10.00,12.77,110.96
4361,10.00,12.87,113.02
4381,10.00,12.93,114.45
4401,10.00,12.98,115.42
4421,10.00,12.69,135.74
4441,10.00,12.49,131.40
4461,10.00,12.14,141.25
4481,10.00,11.89,135.46
4501,10.00,11.72,131.39
4521,10.00,11.59,128.54
4541,10.00,11.51,126.53
4561,10.00,11.45,125.11
4581,10.00,11.30,130.55
4601,10.00,11.20,128.17
4621,10.00,11.34,113.28
4641,10.00,11.45,115.21
4661,10.00,11.52,116.85
4681,10.00,11.67,111.86
4701,10.00,12.09,94.25
4721,10.00,12.39,101.07
4741,10.00,12.60,105.50
4761,10.00,12.75,109.20
4781,10.00,12.85,111.47
4801,10.00,12.60,132.69
4821,10.00,12.43,128.98
4841,10.00,12.10,138.95
4861,10.00,11.87,133.55
4881,10.00,11.70,129.76
4901,10.00,11.69,120.65
4921,10.00,11.69,120.45
4941,10.00,11.68,120.29
4961,10.00,11.58,126.62
4981,10.00,11.50,124.85
5001,10.00,11.34,130.37
5021,10.00,11.23,127.73
5041,10.00,11.15,125.87
5061,10.00,11.41,104.91
5081,10.00,11.59,109.08
5101,10.00,11.72,111.99
5121,10.00,11.81,114.00
5141,10.00,11.87,115.40
5161,10.00,11.92,116.04
5181,10.00,11.95,117.11
5201,10.00,11.97,117.20
5221,10.00,11.99,117.56
5241,10.00,12.00,118.12
5261,10.00,11.79,131.41
5281,10.00,11.65,128.01
5301,10.00,11.55,125.63
