Tiempo(ms),Setpoint(cm),Altura(cm),PWM
4281,15.00,10.54,110.00
4301,15.00,13.07,110.00
4321,15.00,12.23,220.00
4341,15.00,11.72,220.00
4361,15.00,10.87,220.00
4381,15.00,9.97,220.00
4401,15.00,9.43,220.00
4421,15.00,9.10,208.57
4441,15.00,8.78,210.84
4461,15.00,7.93,220.00
4481,15.00,7.42,220.00
4501,15.00,7.11,212.83
4521,15.00,6.93,165.20
4541,15.00,6.82,136.67
4561,15.00,7.01,110.00
4581,15.00,7.13,110.00
4601,15.00,7.46,110.00
4621,15.00,8.45,110.00
4641,15.00,9.04,110.00
4661,15.00,10.23,110.00
4681,15.00,10.95,110.00
4701,15.00,10.54,220.00
4721,15.00,10.16,220.00
4741,15.00,9.93,165.71
4761,15.00,9.67,183.27
4781,15.00,9.51,141.60
4801,15.00,9.41,116.64
4821,15.00,9.35,110.00
4841,15.00,9.32,110.00
4861,15.00,9.30,110.00
4881,15.00,9.42,110.00
4901,15.00,10.46,110.00
4921,15.00,9.85,220.00
4941,15.00,9.36,220.00
4961,15.00,9.06,199.70
4981,15.00,8.88,153.32
5001,15.00,8.52,220.00
5021,15.00,8.30,175.06
5041,15.00,7.65,220.00
5061,15.00,7.26,220.00
5081,15.00,7.02,186.91
5101,15.00,6.88,150.46
5121,15.00,7.19,110.00
5141,15.00,7.37,110.00
5161,15.00,7.61,110.00
5181,15.00,8.01,110.00
5201,15.00,8.25,110.00
5221,15.00,8.53,110.00
5241,15.00,8.69,110.00
5261,15.00,8.79,110.00
5281,15.00,8.85,110.00
5301,15.00,8.89,110.00
5321,15.00,9.17,110.00
5341,15.00,9.34,110.00
5361,15.00,9.44,110.00
5381,15.00,8.85,220.00
5401,15.00,8.49,220.00
5421,15.00,7.76,220.00
5441,15.00,7.32,220.00
5461,15.00,7.05,200.67
5481,15.00,7.02,110.00
5501,15.00,7.01,110.00
5521,15.00,7.13,110.00
5541,15.00,7.21,110.00
5561,15.00,7.26,110.00
5581,15.00,8.06,110.00
5601,15.00,9.08,110.00
5621,15.00,10.25,110.00
5641,15.00,10.96,110.00
5661,15.00,11.38,110.00
5681,15.00,11.79,110.00
5701,15.00,12.03,110.00
5721,15.00,12.17,110.00
5741,15.00,12.25,110.00
5761,15.00,12.30,110.00
5781,15.00,10.56,220.00
5801,15.00,8.74,220.00
5821,15.00,7.52,220.00
5841,15.00,6.79,220.00
5861,15.00,6.35,220.00
5881,15.00,5.95,220.00
5901,15.00,5.71,200.34
5921,15.00,5.83,110.00
5941,15.00,6.29,110.00
5961,15.00,6.70,110.00
5981,15.00,7.47,110.00
6001,15.00,7.93,110.00
6021,15.00,8.20,110.00
6041,15.00,8.24,110.00
6061,15.00,8.27,110.00
6081,15.00,8.02,189.90
6101,15.00,7.87,151.49
6121,15.00,7.78,128.50
6141,15.00,7.85,110.00
6161,15.00,8.03,110.00
6181,15.00,8.13,110.00
6201,15.00,8.33,110.00
6221,15.00,8.58,110.00
6241,15.00,8.46,136.73
6261,15.00,7.87,220.00
6281,15.00,7.51,220.00
6301,15.00,7.04,220.00
6321,15.00,6.63,220.00
6341,15.00,6.38,203.02
6361,15.00,6.10,216.77
6381,15.00,6.06,119.82
6401,15.00,6.04,111.16
6421,15.00,6.42,110.00
6441,15.00,6.91,110.00
6461,15.00,7.33,110.00
6481,15.00,7.58,110.00
6501,15.00,8.39,110.00
6521,15.00,8.23,158.86
6541,15.00,8.12,135.73
6561,15.00,7.93,169.38
6581,15.00,7.69,193.15
6601,15.00,7.54,155.23
6621,15.00,7.46,132.52
6641,15.00,7.53,110.00
6661,15.00,7.71,110.00
6681,15.00,8.07,110.00
6701,15.00,8.29,110.00
6721,15.00,8.69,110.00
6741,15.00,9.18,110.00
6761,15.00,8.95,179.78
6781,15.00,8.29,220.00
6801,15.00,7.90,220.00
6821,15.00,7.40,220.00
6841,15.00,7.10,220.00
6861,15.00,6.79,220.00
6881,15.00,6.61,177.82
6901,15.00,6.63,110.00
6921,15.00,6.77,110.00
6941,15.00,7.11,110.00
6961,15.00,7.32,110.00
6981,15.00,7.58,110.00
7001,15.00,7.73,110.00
7021,15.00,7.82,110.00
7041,15.00,7.88,110.00
7061,15.00,7.91,110.00
7081,15.00,7.81,139.00
7101,15.00,8.00,110.00
7121,15.00,7.86,153.00
7141,15.00,7.78,131.36
7161,15.00,7.98,110.00
7181,15.00,8.23,110.00
7201,15.00,8.39,110.00
7221,15.00,8.61,110.00
7241,15.00,9.55,110.00
7261,15.00,9.31,187.62
7281,15.00,9.04,199.54
7301,15.00,7.56,220.00
7321,15.00,6.68,220.00
7341,15.00,6.02,220.00
7361,15.00,5.63,220.00
7381,15.00,5.39,207.39
7401,15.00,5.38,117.66
7421,15.00,5.63,110.00
7441,15.00,6.04,110.00
7461,15.00,7.07,110.00
7481,15.00,7.69,110.00
7501,15.00,8.06,110.00
7521,15.00,9.22,110.00
7541,15.00,9.92,110.00
7561,15.00,9.01,220.00
7581,15.00,8.47,220.00
7601,15.00,8.14,220.00
7621,15.00,7.95,177.26
7641,15.00,7.83,146.72
7661,15.00,7.88,110.00
7681,15.00,7.91,110.00
7701,15.00,7.93,110.00
7721,15.00,8.07,110.00
7741,15.00,8.16,110.00
7761,15.00,10.37,110.00
7781,15.00,9.54,220.00
7801,15.00,9.17,220.00
7821,15.00,8.95,182.24
7841,15.00,8.68,200.74
7861,15.00,8.52,159.64
7881,15.00,8.43,135.03
7901,15.00,8.24,173.32
7921,15.00,8.13,144.11
7941,15.00,7.93,179.65
7961,15.00,7.81,148.79
7981,15.00,7.36,220.00
8001,15.00,7.08,218.02
8021,15.00,7.30,110.00
8041,15.00,7.43,110.00
8061,15.00,7.51,110.00
8081,15.00,7.56,110.00
8101,15.00,7.60,110.00
8121,15.00,7.74,110.00
8141,15.00,8.09,110.00
8161,15.00,8.30,110.00
8181,15.00,8.56,110.00
8201,15.00,8.71,110.00
8221,15.00,8.80,110.00
8241,15.00,12.55,110.00
8261,15.00,14.41,110.00
8281,15.00,14.02,220.00
8301,15.00,13.79,159.81
8321,15.00,13.65,123.47
8341,15.00,10.72,220.00
8361,15.00,8.84,220.00
8381,15.00,7.45,220.00
8401,15.00,6.62,220.00
8421,15.00,6.12,220.00
8441,15.00,5.82,220.00
8461,15.00,5.77,134.85
8481,15.00,6.00,110.00
8501,15.00,6.26,110.00
8521,15.00,6.42,110.00
8541,15.00,6.64,110.00
8561,15.00,7.18,110.00
8581,15.00,8.40,110.00
8601,15.00,9.14,110.00
8621,15.00,9.58,110.00
8641,15.00,9.07,220.00
8661,15.00,8.76,220.00
8681,15.00,8.57,174.59
8701,15.00,8.46,145.25
8721,15.00,8.13,220.00
8741,15.00,7.94,180.56
8761,15.00,7.95,110.00
8781,15.00,7.95,110.00
8801,15.00,7.96,110.00
8821,15.00,7.96,110.00
8841,15.00,8.09,110.00
8861,15.00,8.82,110.00
8881,15.00,8.09,220.00
8901,15.00,8.17,110.00
8921,15.00,8.23,110.00
8941,15.00,8.13,142.77
8961,15.00,7.94,180.41
8981,15.00,7.82,150.80
9001,15.00,7.75,133.09
9021,15.00,7.71,125.29
9041,15.00,7.55,168.15
9061,15.00,7.46,144.42
9081,15.00,7.15,220.00
9101,15.00,6.95,189.63
9121,15.00,6.83,159.03
9141,15.00,6.76,140.72
9161,15.00,6.72,129.79
9181,15.00,7.08,110.00
9201,15.00,7.30,110.00
9221,15.00,9.20,110.00
9241,15.00,10.33,110.00
9261,15.00,9.90,220.00
9281,15.00,9.52,220.00
9301,15.00,9.29,190.53
9321,15.00,8.76,220.00
9341,15.00,8.44,220.00
9361,15.00,8.25,180.66
9381,15.00,8.13,150.89
9401,15.00,7.94,183.30
9421,15.00,7.82,156.10
9441,15.00,7.75,134.29
9461,15.00,7.70,126.79
9481,15.00,7.68,119.58
9501,15.00,7.92,110.00
9521,15.00,8.07,110.00
9541,15.00,8.42,110.00
9561,15.00,8.64,110.00
9581,15.00,8.76,110.00
9601,15.00,8.84,110.00
9621,15.00,8.89,110.00
9641,15.00,8.39,220.00
9661,15.00,8.48,110.00
9681,15.00,8.53,110.00
9701,15.00,8.17,220.00
9721,15.00,7.96,193.88
9741,15.00,7.83,160.31
9761,15.00,7.49,220.00
9781,15.00,7.02,220.00
9801,15.00,6.75,220.00
9821,15.00,6.58,183.09
9841,15.00,6.74,110.00
9861,15.00,6.84,110.00
9881,15.00,7.02,110.00
9901,15.00,7.27,110.00
9921,15.00,7.41,110.00
9941,15.00,7.25,179.59
9961,15.00,7.41,110.00
9981,15.00,7.50,110.00
10001,15.00,7.30,193.17
10021,15.00,7.05,214.98
10041,15.00,7.28,110.00
10061,15.00,7.42,110.00
10081,15.00,7.77,110.00
10101,15.00,8.11,110.00
10121,15.00,8.31,110.00
10141,15.00,8.43,110.00
10161,15.00,9.16,110.00
10181,15.00,9.46,110.00
10201,15.00,9.38,132.87
10221,15.00,9.34,120.73
10241,15.00,9.31,113.49
10261,15.00,8.51,220.00
10281,15.00,7.25,220.00
10301,15.00,6.49,220.00
10321,15.00,6.03,220.00
10341,15.00,5.63,220.00
10361,15.00,5.52,169.94
10381,15.00,5.45,152.55
10401,15.00,5.42,139.39
10421,15.00,5.78,110.00
10441,15.00,6.01,110.00
10461,15.00,6.27,110.00
10481,15.00,6.55,110.00
10501,15.00,6.98,110.00
10521,15.00,7.38,110.00
10541,15.00,8.39,110.00
10561,15.00,8.22,179.36
10581,15.00,8.38,110.00
10601,15.00,11.91,110.00
10621,15.00,13.74,110.00
10641,15.00,11.69,220.00
10661,15.00,10.46,220.00
10681,15.00,9.72,220.00
10701,15.00,9.28,220.00
10721,15.00,8.62,220.00
10741,15.00,8.10,220.00
10761,15.00,7.91,187.18
10781,15.00,7.80,158.00
10801,15.00,7.87,110.00
10821,15.00,8.16,110.00
10841,15.00,8.87,110.00
10861,15.00,9.30,110.00
10881,15.00,9.02,215.86
10901,15.00,8.73,220.00
10921,15.00,8.42,220.00
10941,15.00,8.24,184.87
10961,15.00,8.26,110.00
10981,15.00,8.27,110.00
11001,15.00,8.28,110.00
11021,15.00,8.28,110.00
11041,15.00,8.28,110.28
11061,15.00,8.28,110.79
11081,15.00,8.29,111.14
11101,15.00,8.29,111.39
11121,15.00,11.15,110.00
11141,15.00,12.87,110.00
11161,15.00,13.89,110.00
11181,15.00,14.51,110.00
11201,15.00,13.94,220.00
11221,15.00,11.29,220.00
11241,15.00,9.56,220.00
11261,15.00,8.02,220.00
11281,15.00,6.83,220.00
11301,15.00,6.11,220.00
11321,15.00,5.68,220.00
11341,15.00,5.43,220.00
11361,15.00,5.53,110.00
11381,15.00,5.98,110.00
11401,15.00,6.78,110.00
11421,15.00,7.38,110.00
11441,15.00,7.74,110.00
11461,15.00,7.96,110.00
11481,15.00,8.09,110.00
11501,15.00,8.17,110.00
11521,15.00,8.22,110.00
11541,15.00,8.11,154.81
11561,15.00,8.44,110.00
11581,15.00,8.64,110.00
11601,15.00,8.63,115.73
11621,15.00,8.62,114.00
11641,15.00,9.42,110.00
11661,15.00,9.10,220.00
11681,15.00,8.91,187.50
11701,15.00,8.80,154.39
11721,15.00,8.72,140.10
11741,15.00,8.68,128.82
11761,15.00,7.87,220.00
11781,15.00,7.12,220.00
11801,15.00,6.67,220.00
11821,15.00,6.28,220.00
11841,15.00,6.05,220.00
11861,15.00,5.90,184.66
11881,15.00,5.94,112.47
11901,15.00,5.97,118.70
11921,15.00,6.37,110.00
11941,15.00,7.40,110.00
11961,15.00,8.02,110.00
11981,15.00,8.39,110.00
12001,15.00,9.13,110.00
12021,15.00,9.05,140.51
12041,15.00,8.36,220.00
12061,15.00,7.94,220.00
12081,15.00,7.82,166.05
12101,15.00,7.61,200.29
12121,15.00,7.24,220.00
12141,15.00,7.26,110.00
