Tiempo(ms),PWM,Altura(cm)
20,133,14.17
40,133,14.18
60,133,14.04
80,133,13.37
100,133,13.56
120,133,13.67
140,133,13.73
160,133,13.62
180,133,13.56
201,133,13.38
220,133,13.42
240,133,13.44
260,133,13.45
280,133,13.46
300,133,12.89
320,133,12.55
340,133,13.07
360,133,13.38
380,133,12.99
400,133,12.75
420,133,13.34
440,133,12.96
460,133,13.32
480,133,13.52
500,133,13.65
520,133,13.00
540,133,12.62
560,133,13.11
580,133,13.55
600,133,13.81
620,133,13.24
640,133,13.63
660,133,13.71
680,133,13.75
700,133,13.78
720,133,13.23
740,133,12.90
760,133,13.42
780,133,13.73
800,133,13.34
820,133,13.11
841,133,12.97
860,133,12.89
880,133,12.84
900,133,12.67
920,133,12.70
940,133,12.73
960,133,12.60
980,133,12.67
1000,133,12.70
1020,133,12.73
1040,133,12.74
1060,133,12.61
1100,133,12.53
1120,133,12.48
1140,133,12.60
1160,133,12.67
1180,133,12.72
1200,133,12.73
1240,133,12.75
1260,133,12.76
1280,133,12.76
1300,133,12.76
1320,133,12.77
1340,133,12.77
1360,133,13.45
1400,133,13.03
1420,133,12.92
1440,133,13.54
1460,133,13.23
1481,133,13.04
1500,133,12.79
1520,133,12.63
1540,133,12.54
1560,133,12.49
1580,133,12.46
1600,133,12.44
1620,133,12.43
1640,133,12.42
1660,133,13.14
1680,133,13.56
1700,133,13.81
1720,133,13.97
1740,133,14.06
1760,133,13.39
1780,133,13.71
1800,133,13.18
1820,133,13.59
1840,133,13.83
1860,133,13.83
1880,133,13.82
1900,133,13.96
1920,133,14.06
1940,133,13.39
1960,133,13.81
1980,133,14.07
2000,133,14.11
2020,133,14.14
2040,133,13.43
2060,133,13.74
2080,133,13.92
2100,133,14.13
2121,133,14.15
2140,133,13.44
2160,133,13.75
2180,133,13.93
2200,133,14.03
2220,133,13.37
2240,133,12.98
2260,133,13.47
2280,133,13.04
2300,133,13.36
2320,133,12.83
2340,133,13.24
2360,133,12.90
2380,133,13.42
2400,133,13.83
2420,133,13.40
2440,133,13.15
2460,133,12.99
2480,133,13.58
2500,133,13.25
2520,133,13.87
2540,133,14.24
2560,133,13.78
2580,133,13.37
2600,133,13.12
2620,133,12.97
2640,133,12.89
2660,133,12.84
2680,133,12.82
2720,133,12.80
2740,133,13.47
2761,133,13.04
2780,133,13.51
2800,133,13.21
2820,133,13.45
2840,133,13.03
2860,133,13.50
2880,133,13.78
2900,133,13.95
2920,133,13.46
2940,133,13.18
2960,133,13.01
2980,133,12.92
3000,133,12.86
3020,133,12.82
3040,133,13.62
3060,133,13.41
3080,133,13.15
3100,133,13.00
3120,133,12.18
3140,133,12.42
3160,133,12.56
3180,133,12.50
3200,133,13.19
3220,133,13.60
3240,133,13.11
3260,133,13.40
3280,133,13.58
3300,133,13.83
3320,133,13.97
3340,133,14.05
3360,133,14.21
3380,133,14.20
3401,133,14.19
3420,133,14.18
3460,133,14.19
3480,133,14.04
3500,133,13.95
3520,133,13.90
3540,133,13.87
3560,133,13.85
3580,133,13.84
3600,133,13.84
3620,133,13.83
3640,133,13.83
3660,133,13.83
3680,133,13.83
3700,133,13.82
3720,133,13.82
3760,133,13.68
3780,133,13.59
3800,133,13.55
3820,133,13.66
3840,133,13.72
3860,133,13.77
3880,133,13.79
3900,133,13.81
3920,133,13.81
3940,133,13.82
3960,133,13.24
3980,133,12.90
4000,133,13.28
4020,133,13.50
4041,133,13.64
4060,133,13.14
4100,133,13.57
4120,133,13.10
4140,133,13.54
4160,133,13.80
4180,133,13.23
4200,133,13.62
4220,133,13.85
4240,133,13.99
4260,133,14.06
4280,133,13.97
4300,133,13.91
4320,133,13.88
4340,133,13.86
4360,133,13.85
4380,133,13.84
4400,133,13.12
4420,133,12.69
4440,133,13.15
4480,133,13.43
4500,133,12.87
4520,133,13.40
4540,133,13.73
4560,133,13.91
4580,133,14.02
4600,133,13.94
4620,133,13.89
4640,133,13.87
4660,133,13.85
4681,133,13.69
4700,133,13.61
4720,133,13.70
4740,133,13.75
4760,133,13.78
4780,133,13.94
4800,133,13.32
4820,133,13.77
4840,133,13.94
4860,133,14.04
4880,133,14.09
4900,133,13.41
4920,133,13.58
4940,133,13.82
4960,133,13.82
4980,133,13.97
5000,133,13.33
5020,133,12.96
5040,133,13.56
5060,133,13.23
5080,133,13.05
5100,133,12.93
5120,133,13.44
5140,133,13.03
5160,133,13.50
5180,133,13.88
5200,133,13.43
5220,133,13.02
5240,133,13.60
5260,133,13.94
5280,133,13.31
5300,133,12.95
5321,133,12.88
