Tiempo(ms),PWM,Altura(cm)
20,133,12.07
40,133,12.06
60,133,12.06
80,133,12.07
100,133,12.06
120,133,12.06
140,133,12.64
160,133,12.26
180,133,12.75
201,133,12.47
220,133,13.02
240,133,12.63
260,133,12.40
280,133,12.27
300,133,12.18
320,133,12.13
340,133,12.10
380,133,12.09
400,133,11.93
420,133,11.99
440,133,12.02
460,133,12.18
480,133,12.14
500,133,12.11
520,133,12.09
540,133,12.08
560,133,12.22
580,133,12.30
600,133,12.20
620,133,12.29
640,133,12.34
660,133,12.38
680,133,12.39
700,133,12.40
720,133,12.41
740,133,12.41
760,133,12.41
780,133,11.54
800,133,11.90
820,133,11.97
841,133,12.00
860,133,12.02
880,133,12.04
900,133,12.05
920,133,12.05
940,133,12.06
960,133,12.06
980,133,12.64
1000,133,12.98
1020,133,13.18
1040,133,12.72
1060,133,12.45
1080,133,12.29
1100,133,12.19
1120,133,12.13
1140,133,12.11
1160,133,12.09
1180,133,12.08
1200,133,11.93
1220,133,12.56
1240,133,12.36
1260,133,12.23
1280,133,12.74
1300,133,13.04
1320,133,12.64
1340,133,12.41
1360,133,12.41
1380,133,12.26
1400,133,12.18
1420,133,12.13
1440,133,12.10
1460,133,12.66
1481,133,12.42
1500,133,12.85
1520,133,13.10
1540,133,13.26
1560,133,12.77
1580,133,13.05
1600,133,13.23
1620,133,12.76
1640,133,12.47
1660,133,12.30
1680,133,12.20
1700,133,12.14
1720,133,12.10
1740,133,12.09
1760,133,12.08
1780,133,12.79
1800,133,12.64
1820,133,12.55
1840,133,12.49
1860,133,12.46
1880,133,12.44
1900,133,12.43
1920,133,12.28
1940,133,12.19
1960,133,12.71
1980,133,13.02
2000,133,13.20
2020,133,13.32
2040,133,13.24
2060,133,13.19
2080,133,13.30
2100,133,13.37
2140,133,13.56
2160,133,13.52
2180,133,13.50
2200,133,13.50
2220,133,13.48
2240,133,13.48
2260,133,13.33
2280,133,13.39
2300,133,13.42
2320,133,13.44
2340,133,13.46
2360,133,13.32
2380,133,13.24
2400,133,13.19
2420,133,13.01
2440,133,12.91
2460,133,12.85
2480,133,12.97
2500,133,13.03
2520,133,13.07
2540,133,13.09
2560,133,13.25
2580,133,13.35
2600,133,13.39
2620,133,13.42
2640,133,12.87
2660,133,12.54
2680,133,13.06
2700,133,12.80
2720,133,13.22
2740,133,13.47
2761,133,13.61
2780,133,13.70
2800,133,13.75
2820,133,13.78
2840,133,13.80
2860,133,13.09
2880,133,12.67
2900,133,12.42
2920,133,12.85
2940,133,13.11
2960,133,13.11
2980,133,13.12
3000,133,13.12
3020,133,13.12
3040,133,13.12
3060,133,13.12
3080,133,13.12
3100,133,13.13
3120,133,12.26
3140,133,12.61
3160,133,12.96
3180,133,13.17
3200,133,13.30
3220,133,13.52
3240,133,12.92
3260,133,12.57
3280,133,13.08
3300,133,12.67
3320,133,13.14
3340,133,13.42
3360,133,13.44
3380,133,13.31
3401,133,13.23
3420,133,13.34
3440,133,13.25
3460,133,13.34
3480,133,13.40
3500,133,13.43
3520,133,13.45
3540,133,13.46
3560,133,13.31
3580,133,13.23
3600,133,13.19
3620,133,13.16
3640,133,13.14
3660,133,13.13
3680,133,13.13
3700,133,13.27
3720,133,13.35
3740,133,13.41
3760,133,12.85
3780,133,12.53
3800,133,12.34
3820,133,12.23
3840,133,12.73
3860,133,13.03
3880,133,13.22
3900,133,13.33
3920,133,13.39
3940,133,13.42
3960,133,12.87
3980,133,12.54
4000,133,12.35
4020,133,12.23
4041,133,12.16
4060,133,12.12
4080,133,12.09
4100,133,11.94
4120,133,11.99
4140,133,12.59
4160,133,12.37
4180,133,12.25
4200,133,12.17
4220,133,12.27
4240,133,12.33
4260,133,12.22
4280,133,12.15
4300,133,12.12
4320,133,12.10
4340,133,12.08
4360,133,12.22
4380,133,12.16
4400,133,12.12
4420,133,12.10
4440,133,12.08
4460,133,12.08
4480,133,12.07
4500,133,12.07
4520,133,12.06
4540,133,12.63
4560,133,12.26
