PWM(%),Altura(cm)
50.51,7.98
51.52,7.09
52.53,6.29
53.54,4.93
54.55,4.93
55.56,3.94
56.57,4.35
57.58,4.52
58.59,6.67
59.60,6.92
60.61,6.75
61.62,7.16
62.63,8.31
63.64,7.36
64.65,8.22
65.66,9.13
66.67,9.21
67.68,9.18
68.69,9.63
69.70,9.90
70.71,10.70
71.72,10.53
72.73,11.47
73.74,12.27
74.75,12.41
75.76,13.81
76.77,16.06
77.78,18.45
78.79,19.75
79.80,21.41
80.81,26.21
81.82,19.19
82.83,24.04
83.84,24.04
84.85,36.57
85.86,36.98
86.87,54.47
87.88,52.36
88.89,35.87
89.90,62.11
