Tiempo(ms),PWM,Altura(cm)
0,127,3.72
51,127,3.62
102,127,3.72
153,127,3.72
205,127,3.72
256,127,3.72
306,127,3.72
357,127,3.74
408,127,3.74
460,127,3.72
511,127,3.74
562,127,3.72
612,127,3.74
663,127,3.72
715,127,3.62
766,127,3.72
817,127,3.72
868,127,3.72
919,127,3.72
970,127,3.72
1021,127,4.05
1072,127,3.95
1123,127,4.05
1174,127,4.07
1226,127,3.72
1277,127,3.72
1328,127,3.72
1379,127,3.72
1429,127,3.72
1481,127,3.72
1532,127,3.62
1583,127,3.72
1634,127,3.72
1685,127,3.72
1737,127,3.74
1788,127,3.72
1839,127,3.72
1889,127,3.72
1940,127,3.72
1991,127,3.62
2043,127,3.72
2094,127,3.74
2145,127,3.72
2196,127,3.72
2247,127,3.72
2299,127,3.72
2349,127,3.72
2400,127,3.72
2451,127,3.62
2502,127,3.72
2554,127,3.72
2605,127,3.72
2656,127,3.72
2707,127,3.72
2758,127,3.72
2809,127,3.72
2860,127,3.72
2911,127,3.66
2962,127,3.62
3013,127,3.72
3065,127,3.72
3116,127,3.72
3167,127,3.72
3218,127,3.72
3268,127,3.72
3320,127,3.72
3371,127,3.69
3422,127,3.62
3473,127,3.74
3524,127,3.74
3576,127,3.72
3627,127,3.72
3678,127,3.72
3728,127,3.72
3779,127,3.72
3831,127,3.71
3882,127,3.62
3933,127,3.72
3984,127,3.72
4035,127,3.72
4087,127,3.74
4138,127,3.72
4188,127,3.72
4239,127,3.72
4290,127,3.72
4342,127,3.62
4393,127,3.72
4444,127,3.72
4495,127,3.72
4546,127,3.72
4598,127,3.72
4648,127,3.72
4699,127,3.72
4750,127,3.72
4801,127,3.62
4853,127,3.72
4904,127,3.72
4955,127,3.72
5006,127,3.72
5057,127,3.74
5108,127,3.72
5159,127,3.72
5210,127,3.72
5261,127,4.60
5312,127,3.40
5364,127,3.41
5415,127,3.40
5466,127,4.72
5517,127,4.71
5568,127,3.40
5618,127,3.40
5670,127,3.40
5721,127,3.40
5772,127,3.40
5823,127,3.40
5874,127,3.41
5926,127,3.40
5977,127,3.41
6027,127,3.72
6078,127,3.72
6129,127,3.72
6181,127,3.29
6232,127,3.40
6283,127,3.74
6334,127,3.72
6385,127,3.72
6437,127,3.72
6487,127,3.74
6538,127,3.74
6589,127,3.64
6640,127,3.62
6692,127,3.74
6743,127,3.74
6794,127,3.72
6845,127,3.72
6896,127,3.72
6947,127,3.72
6998,127,3.72
7049,127,3.62
7100,127,3.62
7151,127,3.74
7203,127,3.40
7254,127,3.40
7305,127,3.72
7356,127,3.72
7406,127,3.72
7458,127,3.72
7509,127,3.62
7560,127,3.72
7611,127,3.72
7662,127,3.72
7714,127,3.72
7765,127,3.72
7816,127,3.72
7866,127,3.72
7917,127,3.72
7969,127,3.62
8020,127,3.72
8071,127,3.72
8122,127,3.72
8173,127,3.72
8225,127,3.72
8276,127,3.72
8326,127,3.72
8377,127,3.72
8428,127,3.62
8480,127,3.72
8531,127,3.72
8582,127,3.72
8633,127,3.72
8684,127,3.74
8736,127,3.72
8786,127,3.74
8837,127,3.72
8888,127,3.62
8939,127,3.74
8991,127,3.74
9042,127,4.05
9093,127,4.05
9144,127,4.05
9195,127,4.07
9247,127,4.05
9297,127,4.07
9348,127,4.05
9399,127,3.95
9450,127,3.95
9501,127,4.07
9553,127,4.07
9604,127,4.05
9655,127,4.38
9706,127,4.38
9757,127,4.38
9809,127,4.38
9859,127,4.38
9910,127,4.38
9961,127,4.05
10012,127,3.95
10064,127,3.95
10115,127,3.95
10166,127,4.05
10217,127,4.05
10268,127,4.05
10320,127,4.05
10371,127,4.05
10422,127,4.38
10473,127,4.38
10524,127,4.38
10576,127,4.40
10627,127,4.38
10678,127,4.38
10729,127,4.38
10780,127,4.38
10832,127,4.38
10883,127,4.05
10934,127,4.05
10984,127,4.07
11035,127,4.05
11087,127,4.05
11138,127,4.05
11189,127,4.05
11240,127,4.29
11291,127,4.28
11343,127,4.28
11394,127,4.28
11445,127,4.38
11496,127,4.38
11547,127,4.38
11599,127,4.38
11650,127,4.38
11701,127,4.38
11752,127,4.40
11803,127,4.38
11855,127,4.38
11906,127,4.38
11957,127,4.38
12008,127,4.40
12059,127,4.38
12111,127,4.38
12162,127,4.38
12213,127,4.38
12264,127,4.38
12315,127,4.38
12367,127,4.38
12418,127,4.38
12469,127,4.38
12519,127,4.38
12570,127,4.38
12622,127,4.38
12673,127,4.38
12724,127,4.38
12775,127,4.38
12826,127,4.40
12878,127,4.38
12929,127,4.38
12980,127,4.28
13031,127,4.28
13082,127,4.28
13134,127,4.28
13185,127,4.28
13236,127,4.40
13287,127,4.38
13338,127,4.40
13390,127,4.38
13441,127,4.38
13492,127,4.38
13543,127,4.38
13594,127,4.38
13646,127,4.40
13697,127,4.40
13748,127,4.38
13799,127,4.38
13850,127,4.38
13902,127,4.38
13953,127,4.38
14004,127,4.38
14055,127,4.38
14106,127,4.38
14158,127,4.38
14209,127,4.40
14259,127,4.40
14310,127,4.38
14361,127,4.38
14413,127,4.38
14464,127,4.38
14515,127,4.38
14566,127,4.38
14617,127,4.38
14669,127,4.38
14720,127,3.95
14771,127,3.95
14822,127,3.95
14873,127,4.38
14925,127,4.38
14976,127,4.38
15027,127,4.38
15078,127,4.40
15129,127,4.38
15181,127,4.38
15232,127,4.38
15283,127,4.38
15334,127,4.38
15385,127,4.38
15437,127,4.40
15488,127,4.05
15539,127,4.38
15590,127,4.38
15641,127,4.38
15693,127,4.38
15744,127,4.38
15795,127,4.38
15846,127,4.38
15897,127,4.38
15948,127,4.38
15999,127,4.38
16050,127,4.38
16101,127,4.38
16152,127,4.38
16204,127,4.38
16255,127,4.38
16306,127,4.38
16357,127,4.28
