PWM(%),Altura(cm)
50.51,7.55
51.52,7.69
52.53,7.57
53.54,4.03
54.55,5.09
55.56,5.28
56.57,6.67
57.58,6.73
58.59,10.74
59.60,11.76
60.61,6.67
61.62,7.00
62.63,6.29
63.64,7.08
64.65,7.17
65.66,6.48
66.67,7.66
67.68,8.56
68.69,8.39
69.70,9.46
70.71,9.38
71.72,9.40
72.73,9.44
73.74,10.79
74.75,11.37
75.76,12.69
76.77,13.12
77.78,15.95
78.79,13.06
79.80,19.19
80.81,22.09
81.82,40.05
82.83,32.49
83.84,27.24
84.85,27.06
85.86,54.56
