Tiempo(ms),PWM,Altura(cm)
20,155,13.83
40,155,14.50
80,155,14.90
100,155,15.14
160,155,15.43
180,155,15.60
201,155,16.27
220,155,16.81
240,155,16.27
260,155,16.09
300,155,15.31
320,155,14.85
360,155,15.96
380,155,16.49
400,155,16.23
440,155,16.07
460,155,15.98
500,155,15.78
520,155,15.66
540,155,15.59
560,155,16.39
600,155,16.17
620,155,15.35
680,155,15.55
700,155,16.24
720,155,15.94
740,155,17.00
760,155,17.10
780,155,16.44
800,155,16.05
820,155,15.82
841,155,15.68
860,155,15.60
900,155,15.55
940,155,15.53
960,155,16.24
980,155,15.93
1000,155,15.75
1020,155,15.64
1060,155,15.43
1080,155,16.57
1100,155,15.99
1120,155,15.64
1140,155,15.43
1180,155,16.57
1200,155,15.99
1220,155,15.64
1240,155,15.43
1260,155,15.45
1280,155,16.18
1300,155,17.54
1380,155,17.42
1400,155,16.49
1420,155,15.94
1460,155,16.48
1481,155,16.07
1500,155,16.55
1520,155,16.11
1540,155,16.57
1560,155,16.14
1580,155,16.59
1600,155,16.99
1620,155,15.84
1640,155,15.69
1660,155,16.46
1700,155,18.36
1720,155,18.04
1740,155,16.32
1760,155,16.12
1780,155,16.71
1840,155,16.21
1860,155,16.64
1880,155,16.17
1900,155,16.61
1920,155,16.01
1940,155,16.51
2000,155,16.81
2020,155,16.99
2040,155,16.37
2060,155,16.01
2080,155,16.51
2100,155,15.95
2121,155,15.61
2140,155,15.42
2160,155,15.30
2180,155,16.09
2220,155,15.70
2240,155,15.46
2260,155,15.33
2280,155,15.25
2300,155,15.35
2320,155,15.25
2340,155,15.21
2360,155,15.90
2380,155,16.45
2400,155,16.78
2420,155,16.25
2440,155,15.80
2460,155,15.67
2520,155,15.45
2540,155,16.04
2560,155,15.67
2580,155,15.45
2600,155,16.04
2640,155,16.24
2660,155,15.64
2680,155,15.29
2700,155,15.81
2720,155,15.38
2800,155,14.99
2820,155,15.62
2840,155,15.28
2860,155,14.93
2900,155,16.14
2920,155,16.16
2940,155,15.45
2960,155,15.04
3000,155,15.51
3020,155,15.07
3040,155,14.80
3060,155,15.37
3100,155,15.70
3120,155,15.90
3140,155,16.02
3160,155,15.37
3180,155,14.99
3200,155,15.48
3240,155,15.05
3260,155,14.80
3280,155,16.06
3300,155,16.26
3320,155,16.38
3340,155,17.52
3380,155,17.13
3401,155,16.02
3420,155,16.24
3440,155,16.37
3460,155,15.57
3480,155,15.10
3500,155,16.25
3520,155,16.22
3540,155,16.21
3560,155,16.76
3580,155,16.53
3600,155,15.67
3620,155,15.16
3640,155,15.58
3660,155,15.11
3680,155,14.83
3740,155,15.54
3760,155,15.08
3780,155,14.81
3820,155,15.52
3840,155,15.94
3860,155,16.87
3880,155,16.02
3900,155,15.51
3920,155,16.61
3940,155,16.73
3960,155,16.08
3980,155,15.69
4020,155,15.46
4041,155,15.33
4060,155,15.25
4080,155,15.92
4100,155,15.60
4120,155,15.41
4140,155,15.29
4160,155,15.22
4180,155,15.19
4220,155,15.16
4240,155,15.29
4260,155,14.69
4280,155,15.73
4320,155,16.35
4340,155,16.00
4360,155,15.79
4380,155,15.66
4400,155,14.91
4420,155,14.61
4440,155,15.11
4460,155,15.41
4480,155,14.76
4500,155,15.06
4520,155,16.08
4540,155,15.99
4560,155,15.93
4580,155,15.89
4600,155,15.87
4620,155,15.18
4640,155,15.45
4660,155,15.03
4681,155,15.50
4700,155,14.96
4720,155,14.64
4740,155,14.55
4760,155,14.50
4780,155,14.37
4800,155,14.30
4820,155,14.93
4840,155,14.62
4860,155,14.54
4880,155,14.49
4900,155,14.46
4920,155,14.44
4940,155,14.43
4960,155,14.42
4980,155,14.43
5000,155,14.32
5020,155,14.37
5080,155,14.29
5100,155,14.35
5120,155,14.38
5140,155,14.40
5160,155,14.41
5180,155,14.41
5220,155,14.32
5240,155,15.09
5260,155,15.54
5280,155,14.98
