Tiempo(ms),PWM,Altura(cm)
20,148,11.71
40,148,12.43
60,148,12.85
80,148,13.11
100,148,13.40
120,148,13.58
140,148,13.68
160,148,13.60
180,148,13.54
201,148,13.51
220,148,13.49
240,148,13.49
260,148,13.34
280,148,13.25
300,148,13.20
320,148,13.17
340,148,13.14
360,148,13.13
380,148,12.98
400,148,12.89
420,148,12.84
440,148,12.66
460,148,14.10
480,148,14.13
500,148,13.28
520,148,12.78
540,148,13.21
560,148,13.46
580,148,13.46
600,148,13.46
620,148,13.32
640,148,13.24
660,148,13.19
680,148,13.16
700,148,13.14
720,148,12.98
740,148,12.90
760,148,13.52
780,148,13.21
800,148,12.89
820,148,12.69
841,148,12.58
860,148,13.23
880,148,13.47
900,148,13.62
920,148,13.70
940,148,13.75
960,148,13.78
980,148,13.80
1000,148,13.81
1020,148,13.82
1040,148,13.82
1060,148,13.82
1080,148,13.83
1100,148,13.83
1120,148,13.69
1160,148,13.60
1180,148,13.54
1200,148,13.51
1220,148,14.32
1240,148,13.97
1260,148,13.77
1280,148,14.32
1300,148,13.97
1320,148,13.77
1340,148,13.64
1360,148,13.57
1380,148,13.53
1400,148,13.36
1420,148,13.26
1440,148,13.35
1460,148,13.39
1481,148,13.28
1500,148,13.89
1520,148,13.57
1540,148,13.38
1560,148,13.81
1580,148,14.20
1600,148,14.43
1620,148,13.75
1640,148,13.34
1660,148,13.79
1680,148,14.05
1700,148,13.53
1720,148,13.90
1740,148,14.11
1760,148,14.24
1780,148,14.31
1800,148,14.35
1820,148,14.39
1840,148,13.72
1860,148,14.01
1880,148,14.08
1900,148,14.21
1920,148,14.20
1940,148,14.19
1960,148,14.18
1980,148,14.18
2000,148,14.18
2020,148,14.17
2040,148,14.17
2060,148,14.28
2080,148,14.24
2100,148,14.31
2140,148,14.25
2160,148,14.22
2180,148,14.20
2200,148,14.20
2220,148,14.19
2240,148,14.18
2260,148,14.18
2280,148,14.18
2300,148,14.17
2320,148,14.17
2340,148,14.17
2360,148,14.17
2380,148,14.17
2400,148,14.17
2420,148,14.17
2440,148,14.17
2460,148,14.17
2480,148,14.17
2500,148,14.17
2520,148,14.17
2540,148,14.17
2560,148,14.17
2580,148,14.02
2600,148,14.08
2620,148,14.12
2640,148,14.14
2660,148,14.15
2680,148,14.16
2700,148,14.17
2720,148,14.03
2740,148,14.09
2761,148,14.12
2780,148,14.14
2800,148,14.15
2820,148,14.16
2840,148,14.27
2860,148,13.66
2880,148,13.29
2900,148,13.75
2920,148,14.17
2940,148,13.74
2960,148,13.49
2980,148,14.16
3000,148,14.56
3020,148,14.12
3040,148,13.85
3060,148,14.37
3080,148,14.00
3100,148,13.64
3120,148,13.43
3140,148,12.29
