Tiempo(ms),PWM,Altura(cm)
8060,148,16.06
8080,148,15.82
8100,148,16.40
8120,148,16.75
8140,148,16.23
8160,148,15.92
8180,148,16.60
8200,148,16.99
8240,148,16.52
8260,148,16.39
8280,148,16.17
8300,148,16.03
8320,148,16.66
8360,148,16.33
8380,148,16.13
8440,148,16.01
8460,148,15.94
8500,148,15.90
8540,148,16.45
8560,148,16.05
8580,148,15.82
8600,148,15.82
8620,148,15.83
8640,148,15.83
8660,148,15.83
8680,148,15.84
8700,148,15.84
8720,148,15.84
8740,148,15.70
8760,148,16.33
8780,148,16.70
8800,148,16.92
8820,148,17.05
8840,148,17.13
8860,148,16.60
8880,148,16.99
8900,148,16.52
8920,148,16.24
8980,148,16.08
9000,148,17.22
9020,148,18.42
9040,148,18.20
9080,148,16.81
9100,148,16.70
9120,148,16.78
9140,148,17.37
9161,148,17.32
9180,148,16.57
9200,148,16.27
9220,148,16.24
9240,148,16.22
9260,148,16.21
9280,148,16.90
9320,148,15.89
9340,148,15.29
9360,148,14.68
9380,148,14.48
9400,148,15.03
9420,148,15.36
9460,148,15.56
9480,148,15.82
9540,148,15.97
9560,148,15.33
9580,148,15.68
9600,148,15.31
9620,148,14.95
9640,148,15.46
9660,148,15.90
9680,148,16.17
9700,148,16.47
9720,148,16.78
9740,148,16.10
9760,148,15.71
9780,148,15.33
9801,148,15.10
9820,148,14.97
9840,148,14.89
9860,148,14.84
9880,148,14.82
9900,148,14.80
9920,148,14.79
9960,148,16.06
9980,148,16.11
10000,173,15.43
10020,173,15.74
10040,173,15.92
10060,173,16.03
10080,173,16.10
10100,173,15.99
10120,173,15.78
10140,173,15.52
10160,173,15.22
10180,173,15.61
10200,173,15.71
10220,173,16.19
10240,173,16.89
10280,173,17.03
10300,173,16.84
10320,173,17.14
10340,173,17.18
10360,173,17.47
10380,173,17.38
10400,173,17.32
10420,173,17.56
10441,173,17.56
10460,173,17.43
10480,173,17.62
10500,173,17.60
10520,173,17.45
10540,173,18.30
10580,173,18.39
10600,173,18.32
10620,173,18.67
10640,173,18.75
10660,173,17.56
10680,173,17.96
10700,173,18.19
10720,173,18.20
10740,173,18.20
10760,173,18.60
10780,173,18.84
10800,173,18.98
10820,173,18.93
10840,173,18.90
10860,173,19.28
10880,173,18.98
10900,173,19.19
10920,173,19.32
10940,173,19.26
10960,173,19.23
10980,173,19.61
11000,173,19.30
11020,173,19.52
11040,173,19.64
11060,173,19.59
11081,173,19.55
11100,173,19.40
11120,173,19.84
11140,173,19.97
11160,173,20.05
11180,173,19.96
11200,173,19.90
11220,173,19.87
11240,173,19.72
11260,173,20.03
11300,173,20.08
11320,173,20.11
11340,173,20.52
11400,173,21.16
11420,173,21.41
11440,173,21.43
11460,173,21.43
11540,173,22.09
11600,173,22.22
11620,173,22.16
11640,173,22.53
11660,173,22.22
11680,173,21.90
11700,173,21.71
11721,173,22.00
11740,173,22.17
11760,173,22.27
11780,173,22.20
11800,173,22.68
11820,173,22.83
11840,173,22.93
11860,173,22.98
11900,173,22.88
11920,173,21.24
11960,173,21.72
12000,173,22.91
12020,173,23.10
12040,173,23.60
12060,173,23.38
12120,173,23.64
12140,173,23.80
12180,173,23.76
12200,173,23.61
12220,173,23.51
12240,173,23.46
12260,173,23.43
12280,173,23.41
12300,173,24.14
12320,173,23.69
12340,173,23.95
12361,173,23.58
12420,173,23.76
12440,173,23.87
12460,173,23.93
12480,173,23.97
12500,173,23.86
12520,173,23.80
12540,173,23.89
12560,173,23.82
12580,173,24.62
12620,173,24.24
12640,173,24.01
12660,173,24.26
12680,173,24.40
12700,173,24.49
12720,173,24.53
12740,173,24.20
12760,173,24.36
12780,173,24.09
12800,173,24.31
12820,173,23.53
12840,173,23.61
12860,173,23.65
12920,173,24.16
12940,173,24.10
12960,173,24.43
12980,173,24.62
13001,173,24.73
13020,173,24.44
13040,173,24.28
13060,173,24.17
13080,173,23.59
13100,173,24.12
13120,173,24.80
13140,173,24.48
13160,173,24.16
13180,173,24.46
13200,173,24.53
13220,173,24.19
13260,173,23.99
13280,173,23.74
13300,173,24.10
13320,173,24.31
13340,173,24.79
13360,173,24.21
13380,173,23.87
13400,173,24.18
13420,173,24.35
13440,173,23.95
13460,173,23.72
13480,173,24.08
13500,173,23.79
13520,173,23.62
13540,173,23.52
13560,173,23.47
13580,173,23.43
13600,173,23.79
13620,173,24.00
13641,173,24.13
13660,173,23.82
13680,173,23.64
13700,173,23.92
13740,173,23.70
13760,173,23.57
13780,173,23.49
13800,173,23.45
13820,173,23.92
13840,173,24.57
13860,173,24.21
13880,173,24.01
13900,173,24.25
13920,173,24.03
13940,173,23.90
13960,173,23.29
13980,173,22.27
14000,173,22.86
14020,173,23.20
14040,173,23.41
14060,173,23.89
14080,173,23.82
14100,173,23.77
14120,173,24.12
14140,173,23.95
14160,173,23.85
14180,173,23.79
14200,173,24.12
14220,173,24.33
14240,173,24.44
14260,173,24.51
14281,173,24.18
14300,173,24.35
14320,173,23.96
14340,173,24.22
14360,173,24.74
14380,173,24.69
14400,173,24.15
14460,173,23.84
14480,173,23.52
14500,173,23.84
14520,173,24.03
14540,173,23.77
14560,173,23.61
14580,173,23.51
14600,173,23.46
14620,173,23.43
14640,173,23.91
14680,173,23.83
14700,173,23.78
14740,173,23.75
14760,173,23.73
14780,173,23.72
14800,173,24.92
14820,173,24.42
14840,173,24.13
14860,173,24.09
14880,173,23.54
14900,173,23.35
14921,173,23.23
14940,173,23.17
14980,173,23.13
15000,173,23.10
15020,173,23.60
15040,173,23.51
15060,173,23.46
15080,173,23.42
15100,173,23.41
15120,173,23.78
15140,173,24.00
15160,173,23.61
15180,173,23.38
15200,173,23.25
15220,173,23.68
15240,173,23.95
15280,173,23.71
15300,173,22.13
15320,173,22.64
15340,173,22.94
15380,173,23.12
15400,173,23.23
15420,173,23.80
15440,173,24.13
15460,173,24.33
15480,173,23.94
15500,173,23.71
15540,173,23.57
15561,173,23.50
15580,173,23.46
15600,173,23.93
15620,173,24.20
15640,173,24.00
15660,173,23.88
15680,173,23.81
15700,173,23.77
15720,173,23.87
15740,173,23.94
15760,173,23.97
15780,173,23.47
15800,173,23.81
15860,173,23.50
15920,173,23.45
15940,173,23.43
15960,173,24.28
15980,173,24.41
16000,173,23.99
16020,173,23.34
16040,173,23.49
16060,173,24.43
16080,173,23.74
16100,173,23.33
16120,173,23.61
16140,173,24.62
16220,173,24.50
16240,173,23.91
16260,173,24.07
16300,173,23.65
16320,173,23.01
16360,173,23.16
16380,173,22.86
16400,173,22.68
16420,173,22.57
16440,173,22.51
16480,173,23.13
16500,173,22.97
16520,173,22.88
16540,173,22.29
16560,173,22.48
16600,173,22.58
16620,173,21.06
16660,173,21.35
16680,173,21.53
16700,173,22.15
16720,173,22.53
16740,173,22.74
16760,173,23.00
16800,173,23.16
16820,173,22.85
16841,173,22.67
16860,173,22.57
16880,173,22.50
16900,173,21.93
16920,173,22.13
16940,173,21.72
16960,173,21.48
16980,173,21.33
17000,173,22.30
17020,173,22.35
17040,173,21.85
17060,173,22.08
17080,173,22.22
17100,173,21.77
