Tiempo(ms),PWM,Altura(cm)
8100,155,15.29
8120,155,16.09
8140,155,15.70
8160,155,15.46
8180,155,16.05
8200,155,15.68
8220,155,16.18
8240,155,15.75
8260,155,15.64
8280,155,16.15
8300,155,15.74
8320,155,16.35
8340,155,15.86
8360,155,15.56
8380,155,15.38
8420,155,16.54
8440,155,15.97
8460,155,15.63
8480,155,15.43
8521,155,16.56
8540,155,17.10
8560,155,16.87
8580,155,16.02
8600,155,15.51
8620,155,15.21
8640,155,16.31
8660,155,15.54
8680,155,15.23
8720,155,15.77
8740,155,15.36
8780,155,16.53
8800,155,15.81
8820,155,16.12
8840,155,15.57
8860,155,14.42
8900,155,14.57
8920,155,14.65
8940,155,14.71
8960,155,14.74
9020,155,16.03
9040,155,15.52
9060,155,15.94
9080,155,16.74
9100,155,15.80
9120,155,16.65
9140,155,16.60
9161,155,16.43
9180,155,15.61
9200,155,15.03
9220,155,16.20
9240,155,16.76
9260,155,16.39
9280,155,16.31
9300,155,16.82
9340,155,17.13
9360,155,17.31
9380,155,16.03
9400,155,15.27
9420,155,15.51
9440,155,15.79
9460,155,16.51
9480,155,15.66
9500,155,15.16
9520,155,15.58
9540,155,15.83
9560,155,15.98
9580,155,16.76
9600,155,17.23
9620,155,16.08
9640,155,15.55
9660,155,16.51
9680,155,15.80
9700,155,16.10
9740,155,16.83
9760,155,15.99
9780,155,15.50
9801,155,15.21
9840,155,15.76
9860,155,16.08
9880,155,15.54
9900,155,15.23
9920,155,15.04
9940,155,15.65
9960,155,16.70
9980,155,16.63
10000,172,16.02
10020,172,15.66
10080,172,16.71
10100,172,16.78
10120,172,15.96
10140,172,16.20
10160,172,16.89
10180,172,17.17
10200,172,15.94
10220,172,15.22
10260,172,16.05
10280,172,15.82
10300,172,15.54
10340,172,16.10
10360,172,16.29
10380,172,16.39
10400,172,15.59
10420,172,15.12
10441,172,14.84
10460,172,15.24
10480,172,15.49
10500,172,15.49
10520,172,15.63
10560,172,16.69
10580,172,16.78
10600,172,16.68
10620,172,16.63
10640,172,16.45
10660,172,16.91
10680,172,17.18
10700,172,17.34
10720,172,16.73
10740,172,16.94
10760,172,17.20
10780,172,17.21
10800,172,17.23
10820,172,17.09
10860,172,17.01
10880,172,16.96
10900,172,16.80
10920,172,16.70
10940,172,16.64
10960,172,16.45
10980,172,16.35
11000,172,16.14
11020,172,16.02
11040,172,16.65
11060,172,17.03
11081,172,18.17
11100,172,17.79
11120,172,17.57
11140,172,17.44
11160,172,17.76
11180,172,17.41
11200,172,17.20
11220,172,17.08
11240,172,16.86
