Tiempo(ms),PWM,Altura(cm)
20,148,16.55
40,148,17.62
100,148,17.19
120,148,17.48
140,148,17.65
160,148,17.19
180,148,17.48
201,148,17.64
220,148,17.05
240,148,16.70
260,148,17.18
280,148,16.92
300,148,16.62
320,148,17.14
340,148,17.32
360,148,17.55
380,148,17.00
400,148,17.36
420,148,17.58
440,148,17.71
460,148,17.79
480,148,17.83
500,148,17.86
520,148,17.87
540,148,17.88
560,148,17.88
580,148,17.89
600,148,17.89
620,148,17.89
640,148,17.89
660,148,17.35
680,148,17.56
740,148,17.15
760,148,16.90
800,148,16.75
820,148,16.52
841,148,16.39
860,148,17.00
880,148,17.37
900,148,16.89
920,148,16.60
940,148,17.13
960,148,17.44
1000,148,17.49
1020,148,17.53
1040,148,17.54
1060,148,17.69
1080,148,17.77
1100,148,17.82
1120,148,17.85
1160,148,17.74
1180,148,17.67
1200,148,17.62
1220,148,17.60
1240,148,17.59
1260,148,17.58
1280,148,17.58
1300,148,17.57
1320,148,17.57
1340,148,17.57
1360,148,17.57
1380,148,17.70
1400,148,17.08
1420,148,16.72
1440,148,17.20
1460,148,17.48
1481,148,17.10
1500,148,16.88
1520,148,17.29
1540,148,16.84
1560,148,17.27
1580,148,17.39
1620,148,17.47
1680,148,17.64
1720,148,17.87
1740,148,17.88
1760,148,17.89
1780,148,17.89
1840,148,17.76
1860,148,18.21
1880,148,18.08
1900,148,18.01
1920,148,17.95
1940,148,17.37
1960,148,17.59
2000,148,17.71
2020,148,17.78
2040,148,17.83
2060,148,17.86
2080,148,17.87
2100,148,18.27
2240,148,18.12
2260,148,18.03
2300,148,16.55
2320,148,15.15
2420,148,15.72
2440,148,16.74
2500,148,17.22
2540,148,17.36
2560,148,16.74
2580,148,16.37
2600,148,16.16
2620,148,16.73
2640,148,16.37
2660,148,16.86
2700,148,17.14
2720,148,17.31
2740,148,17.41
2761,148,17.47
2780,148,17.51
2800,148,17.54
2820,148,17.55
2840,148,17.56
2860,148,16.85
2880,148,17.14
2920,148,17.32
2940,148,16.72
