Tiempo(ms),PWM,Altura(cm)
20,148,12.41
40,148,12.41
60,148,12.41
80,148,12.27
100,148,12.18
120,148,12.85
140,148,13.25
160,148,13.34
180,148,13.39
201,148,13.42
220,148,13.30
240,148,13.23
260,148,13.18
280,148,13.01
300,148,12.90
320,148,12.85
340,148,12.82
360,148,12.65
380,148,12.55
400,148,13.21
420,148,13.61
440,148,13.26
460,148,13.05
480,148,13.51
500,148,13.06
520,148,12.94
540,148,12.72
560,148,13.31
580,148,13.66
600,148,13.15
620,148,13.57
640,148,13.82
660,148,13.96
680,148,14.05
700,148,14.10
720,148,13.41
740,148,13.14
760,148,13.67
780,148,13.15
800,148,12.85
820,148,12.67
841,148,12.57
860,148,12.64
880,148,12.55
900,148,12.49
920,148,12.46
940,148,13.16
960,148,12.86
980,148,13.39
1000,148,13.71
1020,148,13.18
1040,148,13.59
1060,148,13.83
1080,148,13.97
1100,148,14.05
1120,148,13.38
1140,148,13.56
1160,148,13.67
1180,148,13.74
1200,148,13.77
1220,148,13.79
1240,148,13.80
1260,148,13.81
1280,148,13.81
1300,148,13.82
1320,148,13.67
1340,148,13.59
1360,148,13.54
1380,148,14.19
1400,148,13.90
1420,148,13.58
1440,148,14.22
1460,148,14.44
1481,148,14.58
1500,148,14.66
1520,148,14.56
1540,148,14.51
1560,148,13.80
1580,148,14.05
1600,148,14.21
1620,148,14.30
1640,148,14.35
1660,148,14.38
1680,148,15.82
1700,148,15.15
1720,148,15.43
1740,148,15.60
1760,148,15.02
1820,148,14.68
1840,148,14.47
1860,148,14.36
1900,148,14.28
1920,148,14.24
1940,148,14.21
1960,148,14.19
1980,148,14.19
2000,148,14.18
2020,148,14.18
2040,148,14.18
2060,148,14.17
2080,148,14.17
2100,148,14.17
2140,148,14.18
2160,148,14.04
2180,148,14.09
2200,148,14.12
2220,148,14.14
2240,148,15.54
2260,148,14.84
2280,148,14.43
2300,148,14.86
2320,148,14.15
2340,148,14.55
2360,148,14.79
2380,148,14.93
2400,148,15.02
2420,148,14.38
2440,148,14.02
2460,148,13.79
2480,148,13.81
2500,148,13.81
2520,148,13.82
2540,148,13.82
2560,148,13.67
2580,148,13.60
2600,148,13.69
2620,148,14.27
2640,148,13.94
2660,148,13.75
2680,148,13.63
2700,148,13.56
2720,148,13.52
2740,148,13.50
2761,148,13.49
2780,148,14.16
2800,148,14.56
2820,148,14.65
2840,148,14.70
2860,148,14.73
