Tiempo(ms),PWM,Altura(cm)
20,148,13.83
40,148,13.83
60,148,13.82
80,148,13.10
100,148,12.67
120,148,12.57
140,148,12.50
160,148,12.47
201,148,12.45
220,148,12.57
240,148,12.51
260,148,12.61
280,148,12.53
300,148,12.48
320,148,12.60
360,148,12.66
380,148,12.71
400,148,12.74
440,148,12.75
460,148,12.75
480,148,12.75
500,148,12.61
520,148,12.53
540,148,12.48
560,148,12.59
580,148,12.67
600,148,12.70
620,148,12.59
640,148,12.52
660,148,12.47
680,148,12.45
700,148,12.43
720,148,12.43
740,148,12.27
760,148,12.33
780,148,12.22
800,148,12.15
820,148,12.11
841,148,12.09
860,148,12.80
880,148,13.22
900,148,12.74
920,148,12.46
940,148,12.29
960,148,12.19
980,148,13.00
1000,148,14.16
1020,148,13.31
1040,148,12.79
1060,148,12.49
1080,148,13.71
1100,148,13.04
1120,148,12.64
1160,148,12.40
1180,148,12.98
1200,148,12.75
1220,148,14.01
1240,148,13.21
1260,148,12.88
1280,148,12.68
1300,148,12.57
1320,148,12.50
1340,148,12.47
1360,148,12.45
1380,148,12.43
1400,148,12.42
1420,148,12.56
1440,148,12.64
1460,148,12.69
1481,148,12.72
1500,148,12.73
1520,148,13.32
1540,148,12.95
1560,148,12.73
1580,148,12.60
1600,148,12.52
1620,148,12.48
1640,148,12.45
1660,148,12.57
1680,148,13.33
1700,148,13.09
1740,148,12.96
1760,148,12.88
1780,148,12.83
1800,148,12.80
1820,148,12.78
1840,148,12.77
1860,148,12.77
1900,148,12.91
1920,148,12.86
1940,148,14.37
1980,148,13.86
2000,148,13.70
2020,148,13.60
2040,148,12.83
2060,148,13.09
2080,148,13.24
2100,148,13.33
2140,148,13.25
2160,148,13.34
2180,148,13.39
2220,148,13.42
2260,148,13.44
2280,148,12.72
2300,148,13.03
2320,148,13.06
2340,148,13.22
2360,148,12.75
2380,148,13.18
2400,148,14.84
2540,148,15.95
2761,148,15.07
2780,148,13.84
2800,148,13.26
2860,148,12.76
2880,148,12.47
2900,148,12.30
2920,148,13.07
2940,148,12.80
2960,148,12.49
2980,148,13.18
3000,148,12.87
3020,148,12.53
3060,148,12.34
3080,148,12.95
3100,148,12.58
3120,148,13.08
3140,148,12.66
3160,148,12.41
3180,148,12.27
3220,148,12.91
3240,148,12.42
3260,148,12.27
3280,148,12.18
3300,148,12.13
3320,148,12.10
3340,148,12.08
3360,148,12.07
3380,148,12.06
3401,148,12.06
3420,148,12.63
3460,148,12.97
3480,148,13.17
3500,148,13.97
3520,148,13.76
3540,148,13.64
